x,y
0.155867,0.294909
-0.511277,2.444446
-0.131720,0.006599
0.016636,-0.064659
-0.116301,-0.085219
-0.091571,-0.034266
-0.052295,-0.103989
-0.098361,-0.118606
-0.077523,-0.089267
-0.024926,0.045528
-0.053252,-0.010107
0.029977,-0.146565
0.023083,0.012644
-0.076287,-0.070891
-0.038187,0.010432
-0.071565,0.020716
-0.045010,-0.109273
-0.062111,-0.123469
-0.019772,-0.122581
-0.057717,-0.045385
-0.042312,0.042027
-0.009079,0.065909
0.014169,-0.050615
-0.112376,-0.033157
0.063722,0.058021
0.066930,0.095501
-0.402191,0.362006
0.764555,-1.592993
1.683728,0.739298
-0.791603,0.251982
-1.148669,-2.658048
-0.221302,0.159195
-3.394902,0.251501
0.948785,1.193947
-0.129919,-1.152961
-3.133311,-2.094289
-0.700196,-0.201759
0.573679,0.905220
1.483359,-1.257343
-2.519254,2.614427
0.092572,-1.496253
0.196329,1.508742
-2.003281,-0.850509
0.311101,0.306391
-0.759135,0.308819
-0.160435,0.148570
0.942762,1.124279
-0.550676,0.469947
-1.403106,0.801914
-1.867481,0.145261
-0.720012,-0.386864
-0.298151,0.447231
0.361507,-0.044256
0.612718,0.891617
-0.383451,-0.892409
-0.393252,0.443942
-2.384439,-0.826903
-1.746341,0.924756
-1.129400,0.442902
0.543381,0.633125
0.860047,-0.324389
-0.069102,0.023601
0.237975,-0.231714
0.591437,-0.552567
-1.524633,-2.380178
-0.569996,-1.241468
-0.388126,0.263781
-0.457359,-0.031303
0.043065,-0.019994
0.020164,-1.257760
-0.359204,-0.804621
-0.177643,-0.950564
0.166278,-0.637033
-0.124019,0.058417
0.392568,-0.184120
-1.392552,-0.128402
0.625038,0.505168
0.474800,-0.619599
1.546034,2.889328
-0.829619,-1.438018
0.194801,-1.524868
0.429769,0.281328
0.645601,0.882676
0.066442,-0.797438
-0.232905,0.113414
-0.637700,-0.634312
0.005648,-0.478814
-0.969534,-1.060750
0.657804,-1.930546
-0.262736,-0.182839
0.467094,0.008364
-0.275677,-0.581071
0.764460,0.202619
0.624056,2.900054
0.505867,0.128915
1.448460,-2.941120
0.950614,0.241934
0.227557,-0.394128
1.225697,0.657520
0.255333,2.045042
1.208414,0.964064
-2.789532,1.436719
-0.692345,-0.020516
0.823887,1.847120
-0.600914,-0.748165
0.394363,0.116112
0.098136,-0.403526
-0.574851,-0.656807
-2.432904,-0.258314
-3.247268,-0.894589
0.132825,0.972150
-0.580736,-0.392820
0.675970,0.034222
-0.333578,-0.643126
1.110036,0.479870
-1.423335,-0.985132
1.129806,-0.025008
0.603839,-0.343102
0.780523,0.981650
-2.522723,-1.808658
-0.283613,0.659999
-0.125252,0.516362
0.332936,0.175774
0.354927,0.224517
1.110767,-0.735389
0.334028,-0.594985
1.119183,0.119400
0.674425,0.307622
-3.276690,-0.850315
0.445385,-0.097479
0.637485,1.463925
-0.329175,-0.549863
0.463374,-0.071716
-0.118805,-2.277330
-0.231717,-0.197680
0.409844,0.962050
0.214438,0.009376
-0.185657,-0.547165
-1.667141,-1.327081
-0.497061,-0.414519
0.475735,0.338005
2.309762,1.944104
-1.939376,-1.236191
-2.158390,-0.680646
0.511279,0.238732
0.488541,0.444064
-0.352682,-0.067590
-0.601780,0.611487
-0.029545,2.622612
-0.114879,-0.048104
0.548036,-0.095130
-0.182968,0.668877
-1.471818,-0.836421
0.316373,0.388399
0.040644,-1.081894
0.160815,-0.374068
0.087779,0.042282
0.195449,0.605270
0.864955,0.286583
-0.132428,-1.030513
-1.919918,-2.280755
0.618664,-0.132760
-0.641332,0.495382
-0.750953,0.473480
-0.390071,1.139298
0.610006,1.059932
-1.145000,1.390334
0.281839,-0.521833
0.482201,0.408813
-1.452588,-1.722679
-2.295970,0.524125
-0.655881,0.453815
0.438058,0.167320
-0.264415,0.478417
-0.052786,0.730195
0.544496,1.377548
-1.265477,-0.971828
-0.689593,-0.694709
